date,product,region,total_sales
2024-05-09,Mouse,North,1368.32
2024-08-15,Keyboard,East,17401.59
2024-01-25,Mouse,West,5246.17
2024-01-17,Laptop,East,728894.55
2024-09-10,Laptop,West,706278.22
2024-06-18,Headphones,West,41358.32
2024-02-13,Tablet,South,353205.68
2024-12-22,Headphones,North,55552.78
2024-07-21,Laptop,West,146198.44
2024-07-04,Tablet,West,52574.38
2024-06-26,Tablet,East,83983.74
2024-02-16,Tablet,West,253365.02
2024-12-14,Smartphone,West,60562.08
2024-01-01,Headphones,South,35544.18
2024-02-17,Smartphone,South,248048.0
2024-09-30,Mouse,West,12723.57
2024-07-13,Headphones,West,39777.56
2024-07-17,Tablet,West,159940.22
2024-08-17,Mouse,East,9844.29
2024-02-28,Keyboard,West,32854.03
2024-12-13,Tablet,West,23142.67
2024-10-17,Mouse,South,11314.5
2024-10-25,Tablet,South,231725.45
2024-06-01,Keyboard,West,20532.74
2024-03-04,Keyboard,South,28108.89
2024-06-23,Smartphone,West,170312.52
2024-01-19,Monitor,West,138588.99
2024-11-23,Headphones,South,13449.05
2024-06-01,Headphones,North,31928.05
2024-04-06,Headphones,North,35446.18
2024-09-08,Laptop,South,502593.36
2024-12-03,Headphones,North,42635.34
2024-05-04,Smartphone,North,243221.18
2024-07-10,Monitor,South,79089.32
2024-02-09,Headphones,East,19949.96
2024-10-08,Smartphone,South,282446.12
2024-08-11,Keyboard,North,16570.22
2024-01-09,Laptop,East,541523.46
2024-08-30,Laptop,North,504336.95
2024-06-14,Keyboard,South,38673.31
2024-03-31,Keyboard,South,17844.19
2024-04-24,Smartphone,South,24323.69
2024-01-02,Headphones,West,14324.1
2024-10-10,Tablet,South,144231.45
2024-02-17,Tablet,East,394357.07
2024-07-30,Headphones,East,33088.94
2024-05-07,Smartwatch,West,162088.16
2024-07-27,Smartphone,North,67159.58
2024-03-21,Mouse,North,17617.68
2024-11-11,Tablet,West,324704.59
2024-02-01,Mouse,North,9266.65
2024-10-12,Smartphone,East,155502.9
2024-02-03,Smartwatch,South,185629.5
2024-08-15,Smartphone,West,42773.38
2024-06-03,Headphones,North,36913.54
2024-06-25,Monitor,East,136605.47
2024-03-03,Monitor,West,18806.47
2024-01-20,Smartphone,South,221630.9
2024-11-04,Headphones,North,3907.38
2024-09-24,Smartphone,East,142203.21
2024-07-04,Mouse,West,8025.53
2024-08-02,Laptop,South,384073.99
2024-02-17,Mouse,West,7804.0
2024-10-15,Mouse,North,3830.07
2024-02-20,Mouse,North,16163.68
2024-10-09,Mouse,West,12130.97
2024-03-28,Headphones,West,48711.94
2024-03-09,Mouse,West,14085.77
2024-09-27,Smartphone,East,146989.1
2024-12-05,Tablet,West,235888.44
2024-04-24,Monitor,North,98045.08
2024-05-21,Mouse,West,3657.95
2024-04-18,Headphones,West,70489.57
2024-06-05,Mouse,North,6604.59
2024-03-19,Mouse,South,3076.74
2024-10-07,Tablet,East,121491.8
2024-08-24,Laptop,West,297217.89
2024-12-11,Tablet,North,92289.93
2024-04-23,Keyboard,South,34053.28
2024-11-30,Smartwatch,North,136330.37
2024-06-16,Laptop,South,456906.32
2024-06-12,Mouse,North,2534.22
2024-05-06,Mouse,North,16807.52
2024-12-27,Keyboard,West,2503.63
2024-11-13,Tablet,South,51558.42
2024-06-28,Laptop,South,474513.43
2024-09-10,Smartwatch,North,29608.54
2024-03-07,Smartphone,North,151145.88
2024-12-26,Mouse,South,17536.68
2024-08-22,Headphones,North,28389.09
2024-05-20,Mouse,East,7185.46
2024-12-08,Monitor,West,36050.96
2024-07-21,Mouse,East,17006.44
2024-05-16,Laptop,East,494682.94
2024-08-08,Headphones,North,58572.19
2024-07-30,Headphones,East,53530.62
2024-04-22,Smartwatch,North,27435.07
2024-10-14,Keyboard,West,7387.68
2024-02-22,Headphones,West,9587.5
2024-10-22,Tablet,West,300542.78
2024-07-15,Keyboard,West,16962.01
2024-08-20,Smartwatch,West,135254.88
2024-06-16,Smartwatch,West,90049.22
2024-03-21,Smartphone,West,328869.58
2024-12-16,Laptop,West,314942.56
2024-04-26,Laptop,North,473636.79
2024-01-12,Monitor,West,176325.66
2024-10-27,Smartphone,North,83695.3
2024-02-06,Headphones,West,40737.82
2024-03-09,Keyboard,East,16094.79
2024-10-24,Smartphone,East,146116.86
2024-09-27,Headphones,North,40552.32
2024-10-10,Tablet,East,143182.75
2024-05-30,Smartphone,East,296356.08
2024-05-14,Smartwatch,South,81128.53
2024-02-28,Laptop,West,465923.27
2024-10-14,Mouse,East,4174.48
2024-03-25,Monitor,East,162029.08
2024-09-27,Mouse,East,2489.39
2024-07-02,Laptop,South,600115.57
2024-01-12,Mouse,North,10586.65
2024-09-07,Mouse,South,9112.54
2024-03-15,Monitor,South,259175.29
2024-03-10,Mouse,North,6935.19
2024-10-09,Monitor,West,154105.81
2024-04-22,Keyboard,South,40838.31
2024-05-25,Smartphone,North,310376.76
2024-06-03,Keyboard,North,5857.41
2024-03-24,Smartphone,East,154003.06
2024-09-12,Headphones,West,9049.62
2024-05-15,Smartphone,West,40150.54
2024-05-09,Tablet,East,93042.56
2024-07-05,Smartwatch,South,124061.5
2024-05-03,Laptop,West,517179.06
2024-02-24,Keyboard,West,11577.08
2024-09-29,Smartwatch,West,94429.2
2024-11-06,Laptop,West,570078.7
2024-07-04,Headphones,West,37789.86
2024-07-02,Tablet,South,29424.78
2024-09-02,Tablet,East,139944.5
2024-07-24,Laptop,East,204371.68
2024-09-13,Tablet,East,409050.59
2024-09-23,Monitor,West,93509.12
2024-01-13,Headphones,South,12120.63
2024-05-16,Keyboard,West,37679.48
2024-10-11,Mouse,East,5587.52
2024-01-16,Headphones,South,52627.41
2024-02-14,Keyboard,North,29031.71
2024-10-29,Monitor,North,239571.66
2024-11-01,Smartwatch,West,162220.76
2024-09-26,Smartphone,West,41689.49
2024-01-27,Smartphone,West,144844.24
2024-05-17,Tablet,East,309760.99
2024-05-19,Monitor,North,259077.17
2024-06-03,Headphones,North,23102.76
2024-08-15,Smartphone,South,329346.81
2024-07-08,Headphones,North,25874.09
2024-09-30,Smartphone,North,91411.78
2024-11-26,Laptop,North,340945.98
2024-03-20,Smartphone,East,113750.86
2024-06-25,Headphones,North,40685.34
2024-12-30,Keyboard,North,13532.22
2024-11-08,Monitor,West,203385.4
2024-05-02,Smartphone,South,20946.3
2024-04-07,Monitor,South,272097.49
2024-03-30,Monitor,West,32326.28
2024-08-02,Smartphone,West,255777.34
2024-09-01,Monitor,South,184696.15
2024-05-11,Headphones,West,36182.3
2024-03-26,Headphones,North,36718.06
2024-03-03,Tablet,North,56187.41
2024-03-16,Headphones,North,65329.11
2024-02-19,Mouse,West,19318.78
2024-08-07,Smartphone,East,230175.18
2024-12-10,Monitor,West,39210.01
2024-04-12,Smartwatch,South,70092.79
2024-08-20,Keyboard,West,2929.34
2024-12-19,Monitor,South,111586.33
2024-12-26,Laptop,North,577058.9
2024-10-31,Smartphone,North,302090.28
2024-10-31,Laptop,North,598794.04
2024-11-01,Laptop,East,108393.06
2024-01-19,Tablet,East,319395.39
2024-10-16,Smartphone,North,186215.9
2024-09-15,Monitor,West,216141.64
2024-12-17,Laptop,North,386988.95
2024-04-12,Smartphone,East,201624.15
2024-08-02,Tablet,South,167221.21
2024-05-16,Mouse,North,14396.45
2024-12-10,Keyboard,North,20930.77
2024-10-04,Tablet,East,266433.43
2024-06-16,Headphones,West,47674.14
2024-09-18,Headphones,West,60498.84
2024-03-15,Mouse,East,9353.98
2024-02-24,Laptop,East,43112.93
2024-01-29,Keyboard,North,17630.74
2024-05-05,Smartwatch,West,117323.61
2024-01-09,Laptop,West,497556.36
2024-04-24,Tablet,North,253756.99
2024-09-22,Laptop,West,623324.75
2024-04-13,Mouse,South,9690.68
2024-09-06,Laptop,South,432669.82
2024-01-05,Mouse,North,11022.12
2024-10-04,Smartphone,North,115595.01
2024-05-15,Headphones,West,53379.65
2024-06-22,Tablet,West,53835.25
2024-06-05,Smartwatch,East,45164.06
2024-04-14,Smartwatch,East,104874.84
2024-04-23,Smartwatch,West,138862.92
2024-07-01,Monitor,West,54669.93
2024-01-05,Smartwatch,West,94235.28
2024-07-08,Laptop,East,451298.24
2024-10-02,Keyboard,West,8378.91
2024-09-05,Headphones,North,33046.03
2024-01-05,Smartwatch,East,100644.96
2024-05-03,Smartwatch,West,71831.84
2024-01-20,Smartwatch,North,32661.12
2024-07-18,Smartwatch,East,28984.2
2024-02-22,Smartwatch,North,31477.63
2024-07-09,Headphones,North,12365.13
2024-08-23,Monitor,East,49446.34
2024-05-01,Headphones,West,9960.88
2024-02-08,Keyboard,West,15209.2
2024-06-03,Headphones,West,38173.44
2024-08-03,Monitor,East,47456.83
2024-01-01,Headphones,South,20281.81
2024-07-22,Smartphone,West,216848.16
2024-07-18,Keyboard,East,35170.94
2024-08-26,Monitor,East,233671.32
2024-09-18,Smartphone,South,182398.03
2024-03-17,Keyboard,East,11702.4
2024-12-07,Smartphone,East,297821.39
2024-12-27,Mouse,South,6434.55
2024-08-23,Tablet,East,107580.42
2024-04-01,Smartwatch,North,10202.26
2024-02-05,Tablet,South,344264.02
2024-05-05,Laptop,North,56972.79
2024-10-11,Mouse,South,15733.62
2024-04-03,Monitor,East,38954.3
2024-08-04,Laptop,South,649675.92
2024-03-03,Headphones,North,9463.94
2024-10-14,Smartwatch,East,99206.81
2024-02-20,Smartwatch,North,81645.29
2024-10-14,Headphones,East,18590.33
2024-11-13,Smartphone,South,131071.48
2024-06-22,Smartwatch,East,10454.85
2024-08-12,Smartwatch,North,74607.84
2024-05-20,Smartwatch,South,38918.62
2024-05-28,Headphones,North,54546.49
2024-12-28,Keyboard,South,15507.47
2024-04-07,Headphones,South,5036.29
2024-12-11,Tablet,North,123279.96
2024-11-10,Tablet,North,384561.7
2024-08-18,Laptop,West,634154.53
2024-12-06,Monitor,West,190520.15
2024-05-03,Keyboard,South,30798.2
2024-03-09,Headphones,West,65970.67
2024-06-18,Monitor,East,117562.26
2024-07-16,Keyboard,East,37867.63
2024-08-31,Headphones,North,13572.3
2024-10-17,Tablet,North,158948.51
2024-03-01,Smartwatch,North,31984.85
2024-12-26,Smartphone,North,69576.27
2024-10-06,Smartphone,East,167953.26
2024-03-14,Monitor,North,16738.35
2024-05-18,Monitor,North,71397.04
2024-03-25,Monitor,West,190349.92
2024-10-23,Smartwatch,North,112879.39
2024-02-09,Smartphone,North,201421.65
2024-10-10,Tablet,South,392518.49
2024-01-04,Headphones,West,34585.13
2024-06-24,Laptop,North,730070.64
2024-10-18,Laptop,East,135862.7
2024-11-23,Keyboard,South,21423.78
2024-03-25,Mouse,West,6218.8
2024-04-20,Laptop,South,711257.49
2024-02-24,Smartwatch,South,42837.45
2024-06-18,Keyboard,North,27670.19
2024-06-09,Keyboard,West,2987.93
2024-05-22,Keyboard,East,17601.48
2024-11-18,Smartphone,North,139884.47
2024-08-23,Keyboard,South,5035.26
2024-08-02,Smartwatch,West,22127.84
2024-01-21,Headphones,North,40036.48
2024-05-09,Mouse,North,8715.9
2024-05-16,Smartphone,South,207867.77
2024-03-23,Keyboard,East,17677.92
2024-05-26,Mouse,North,13237.48
2024-06-04,Smartwatch,East,84402.64
2024-04-21,Headphones,West,53360.84
2024-12-15,Headphones,North,49861.99
2024-11-07,Headphones,South,53718.39
2024-05-27,Laptop,West,204131.48
2024-10-02,Monitor,South,121403.09
2024-05-07,Keyboard,North,7141.85
2024-10-12,Headphones,East,60549.1
2024-04-21,Headphones,West,10207.16
2024-08-02,Laptop,South,229798.48
2024-09-04,Laptop,West,446060.08
2024-04-19,Smartphone,East,109171.49
2024-01-31,Tablet,South,359630.27
2024-06-10,Laptop,East,693512.04
2024-02-04,Monitor,North,51952.78
2024-02-14,Keyboard,West,37526.71
2024-12-19,Keyboard,North,29707.52
2024-08-14,Mouse,West,13099.68
2024-12-04,Keyboard,West,16272.03
2024-08-17,Headphones,North,50878.11
2024-01-29,Keyboard,East,4777.62
2024-08-22,Headphones,East,59358.05
2024-08-18,Mouse,East,18473.09
2024-07-29,Monitor,West,128364.02
2024-04-09,Headphones,East,37252.29
2024-04-23,Smartphone,East,163335.75
2024-03-27,Mouse,South,4144.28
2024-08-25,Monitor,East,227158.66
2024-08-31,Laptop,East,170920.93
2024-10-14,Laptop,West,360406.39
2024-11-15,Keyboard,East,5642.39
2024-03-25,Tablet,West,74385.7
2024-11-22,Laptop,East,51380.33
2024-01-09,Laptop,North,44878.01
2024-07-25,Keyboard,East,8409.8
2024-02-08,Smartwatch,North,111237.6
2024-06-01,Headphones,East,23887.94
2024-11-06,Mouse,West,10438.34
2024-04-06,Smartwatch,West,38468.16
2024-01-16,Laptop,West,563188.33
2024-10-16,Keyboard,South,7454.31
2024-03-08,Laptop,West,476099.36
2024-04-18,Monitor,South,104570.2
2024-11-23,Monitor,South,49814.21
2024-08-27,Smartwatch,North,149333.76
2024-06-20,Monitor,North,227470.65
2024-08-03,Smartphone,West,228319.74
2024-04-08,Smartwatch,East,58508.4
2024-01-27,Headphones,West,59112.26
2024-12-17,Laptop,West,386988.95
2024-01-04,Tablet,East,85307.23
2024-10-21,Mouse,South,12043.28
2024-01-15,Monitor,North,291870.04
2024-06-14,Smartphone,East,202722.02
2024-10-08,Mouse,North,6478.66
2024-12-22,Keyboard,West,43304.75
2024-10-28,Keyboard,West,34292.94
2024-09-22,Tablet,West,300891.02
2024-04-27,Headphones,North,4785.5
2024-06-18,Smartwatch,North,89128.08
2024-07-04,Keyboard,East,2870.03
2024-11-19,Tablet,East,195193.05
2024-04-28,Tablet,West,352073.76
2024-12-26,Smartwatch,East,108418.68
2024-08-22,Laptop,East,791108.36
2024-08-06,Keyboard,East,19333.94
2024-06-23,Tablet,East,341642.22
2024-07-31,Mouse,North,22161.6
2024-02-25,Keyboard,South,38323.66
2024-07-08,Mouse,East,19154.36
2024-03-15,Keyboard,East,42444.68
2024-12-22,Keyboard,East,43304.75
2024-09-14,Mouse,West,10474.86
2024-10-24,Smartphone,South,182537.78
2024-10-16,Smartwatch,West,68723.59
2024-07-10,Tablet,West,319414.5
2024-12-25,Smartwatch,East,56330.83
2024-09-07,Headphones,South,57148.17
2024-12-29,Headphones,West,59890.08
2024-05-25,Mouse,West,2489.46
2024-09-10,Tablet,South,398550.97
2024-04-21,Laptop,North,306120.08
2024-07-13,Monitor,East,71673.84
2024-12-05,Laptop,North,653005.32
2024-05-30,Laptop,East,54034.06
2024-12-12,Tablet,South,101188.56
2024-08-05,Smartwatch,South,78132.48
2024-11-21,Headphones,South,48934.22
2024-05-21,Tablet,East,99107.11
2024-07-07,Smartwatch,West,123902.05
2024-03-30,Smartwatch,West,9654.45
2024-11-10,Smartwatch,South,99680.88
2024-05-19,Smartphone,West,173207.49
2024-04-30,Monitor,North,238447.53
2024-08-19,Headphones,South,9635.72
2024-08-25,Headphones,North,24599.16
2024-05-23,Smartphone,North,297183.1
2024-02-04,Smartphone,South,271203.07
2024-11-16,Smartphone,West,240902.24
2024-07-28,Headphones,West,41190.72
2024-01-04,Laptop,West,796695.76
2024-07-06,Smartphone,East,320234.88
2024-08-18,Keyboard,South,24192.8
2024-02-29,Mouse,West,19509.54
2024-01-01,Monitor,West,200960.24
2024-11-04,Mouse,South,1366.61
2024-10-12,Smartwatch,South,38440.99
2024-10-10,Headphones,East,24093.47
2024-11-07,Smartphone,West,283508.4
2024-02-24,Keyboard,North,32591.75
2024-12-23,Smartwatch,West,153673.03
2024-05-07,Keyboard,South,35421.48
2024-10-13,Laptop,South,272629.8
2024-06-13,Mouse,East,10962.58
2024-02-03,Laptop,East,651922.6
2024-09-28,Laptop,South,44370.38
2024-09-11,Monitor,West,78092.48
2024-02-26,Tablet,West,85843.85
2024-01-17,Laptop,East,660298.98
2024-10-15,Smartphone,North,229362.85
2024-05-19,Mouse,East,2910.86
2024-09-14,Tablet,East,238597.97
2024-03-24,Smartphone,West,25519.75
2024-10-18,Smartwatch,West,152247.24
2024-06-05,Smartphone,West,44225.64
2024-01-19,Keyboard,South,37962.67
2024-05-26,Keyboard,West,13293.83
