order_id,date,product,category,region,salesperson,quantity,unit_price,discount,total_sales
ORD1269,18-08-2024,Smartphone,Electronics,east,Kiran,3,26180.95,0,78542.85
ORD1340,12-06-2024,Smartwatch,Accessories,East,Priya,4,12378.94,0.2,39612.61
ORD1301,29-09-2024,Keyboard,Accessories,,Kiran,6,3137.01,0.15,15998.75
ORD1416,13-11-2024,Smartwatch,Accessories,North,Arjun,3,11624.52,0.15,29642.53
ORD1388,20-06-2024,Keyboard,Accessories,West,Kiran,13,3108.66,0.15,34350.69
ORD1443,24-11-2024,Smartwatch,Accessories,South,Ravi,3,11859.27,0.05,
ORD1201,11-03-2024,Laptop,Electronics,East,Arjun,1,53374.33,,50705.61
ORD1391,05-07-2024,Keyboard,Accessories,North,,5,3094.95,0.15,13153.54
ORD1453,22-07-2024,Smartwatch,Accessories,East,Kiran,4,11447.79,0,45791.16
ORD1406,05-04-2024,Headphones,Accessories,West,Sneha,13,4952.52,0.05,61163.62
ORD1474,15-09-2024,Mouse,Accessories,South,Sneha,12,1437.74,0,17252.88
ORD1467,24-05-2024,Laptop,Electronics,East,Arjun,7,52629.1,,313143.15
ORD1032,24-08-2024,Mouse,Accessories,South,Ravi,3,1488.28,0.1,4018.36
ORD1095,26-06-2024,Smartphone,Electronics,West,Arjun,13,26209.61,0,340724.93
ORD1372,14-03-2024,Monitor,Electronics,,Ravi,1,20922.94,,16738.35
ORD1135,17-09-2024,Tablet,Electronics,East,Sneha,8,31297.96,,225345.31
ORD1200,22-04-2024,Mouse,Accessories,West,Kiran,9,1525.07,0,13725.63
ORD1293,24-03-2024,Tablet,Electronics,West,Kiran,6,31294.11,0.1,168988.19
ORD1475,05-12-2024,Smartphone,Electronics,South,Priya,10,25169.55,0.15,213941.17
ORD1433,10-09-2024,Keyboard,Accessories,East,Arjun,4,3140.44,0.05,11933.67
ORD1068,26-08-2024,Keyboard,Accessories,West,Sneha,13,3024,0.1,35380.8
ORD1178,26-09-2024,Tablet,Electronics,North,Ravi,5,28657.2,0.15,121793.1
ORD1021,02-05-2024,Laptop,Electronics,North,Priya,2,57360.04,0.1,103248.07
ORD1022,29-09-2024,Smartphone,Electronics,South,Priya,2,25579.77,0,51159.54
ORD1278,13-08-2024,Mouse,Accessories,West,Sneha,2,1528.29,0.05,2903.75
ORD1130,25-07-2024,Smartphone,Electronics,North,Kiran,6,24381,0,146286
ORD1190,22-10-2024,Smartwatch,Accessories,,Priya,10,11774.94,0,117749.4
ORD1233,11-08-2024,Smartwatch,Accessories,North,Priya,8,12486.37,0.05,94896.41
ORD1394,04-08-2024,Smartwatch,Accessories,WEST,Ravi,4,11703.22,0.05,44472.24
ORD1243,26-09-2024,Smartphone,Electronics,,,9,26186.64,0,235679.76
ORD1466,01-04-2024,Monitor,Electronics,South,Kiran,2,20004.08,0,40008.16
ORD1223,09-12-2024,Keyboard,Accessories,North,Sneha,11,3087.5,0.05,32264.38
ORD1378,12-02-2024,Smartwatch,Accessories,East,,13,11695.74,0,152044.62
ORD1140,19-10-2024,Monitor,Electronics,West,Priya,14,19377.3,0.05,257718.09
ORD1265,30-12-2024,Smartwatch,Accessories,South,Arjun,15,11759.95,0.05,167579.29
ORD1217,18-08-2024,Mouse,Accessories,North,Arjun,9,1447.63,0,13028.67
ORD1168,19-02-2024,Laptop,Electronics,South,Kiran,5,57727.6,0,288638
ORD1346,17-07-2024,Keyboard,Accessories,South,Arjun,7,3017.19,0.05,20064.31
ORD1218,06-05-2024,Smartphone,Electronics,West,Sneha,9,25365.32,0,228287.88
ORD1211,01-12-2024,Smartwatch,Accessories,North,Priya,4,11608.2,0.05,44111.16
ORD1179,30-10-2024,Mouse,Accessories,North,Sneha,8,1541.7,0.2,9866.88
ORD1224,19-04-2024,Monitor,Electronics,East,Sneha,1,19725.2,0.05,18738.94
ORD1074,25-08-2024,Tablet,Electronics,North,Kiran,13,31373.9,0.2,326288.56
ORD1279,09-06-2024,Mouse,Accessories,East,Arjun,4,1476.03,0.05,5608.91
ORD1222,07-03-2024,Tablet,Electronics,North,Arjun,15,29549.46,0.15,
ORD1239,03-06-2024,Keyboard,Accessories,North,Ravi,2,3082.85,0.05,5857.41
ORD1008,24-03-2024,Smartphone,Electronics,East,Arjun,7,24444.93,0.1,154003.06
ORD1261,12-09-2024,Headphones,Accessories,West,Kiran,2,4762.96,0.05,9049.62
ORD1044,15-05-2024,Smartphone,Electronics,,Arjun,2,25094.09,0.2,40150.54
ORD1365,09-05-2024,Tablet,Electronics,East,Arjun,4,29075.8,0.2,93042.56
ORD1159,05-07-2024,Smartwatch,Accessories,South,Ravi,13,11928.99,0.2,124061.5
ORD1103,03-05-2024,Laptop,Electronics,West,Sneha,9,57464.34,,517179.06
ORD1073,24-02-2024,Keyboard,Accessories,West,Priya,4,2894.27,0,11577.08
ORD1488,19-04-2024,Keyboard,Accessories,South,Arjun,11,2978,0.1,-29482.2
ORD1294,29-09-2024,Smartwatch,Accessories,West,Kiran,10,11803.65,0.2,94429.2
ORD1217,18-08-2024,Mouse,Accessories,North,Arjun,9,1447.63,0,13028.67
ORD1156,06-11-2024,Laptop,Electronics,West,Arjun,10,57007.87,0,570078.7
ORD1171,04-07-2024,Headphones,Accessories,,Arjun,8,4972.35,0.05,37789.86
ORD1053,02-07-2024,Tablet,Electronics,South,Priya,1,29424.78,0,29424.78
ORD1389,02-09-2024,Tablet,Electronics,East,Priya,5,29462,0.05,139944.5
ORD1011,24-07-2024,Laptop,Electronics,East,Ravi,4,56769.91,0.1,204371.68
ORD1374,13-09-2024,Tablet,Electronics,East,Ravi,13,31465.43,0,409050.59
ORD1402,23-09-2024,Monitor,Electronics,West,Arjun,5,19686.13,0.05,93509.12
ORD1470,13-01-2024,Headphones,Accessories,South,Kiran,3,4753.19,0.15,12120.63
ORD1056,16-05-2024,Keyboard,Accessories,WEST,Ravi,13,3050.97,0.05,37679.48
ORD1191,11-10-2024,Mouse,Accessories,East,Ravi,4,1552.09,0.1,5587.52
ORD1090,16-01-2024,Headphones,Accessories,South,Priya,11,4784.31,0,52627.41
ORD1445,14-02-2024,Keyboard,Accessories,North,Priya,10,3055.97,0.05,29031.71
ORD1497,29-10-2024,Monitor,Electronics,North,Arjun,13,20476.21,0.1,239571.66
ORD1296,01-11-2024,Smartwatch,Accessories,West,Arjun,13,12478.52,0,162220.76
ORD1268,26-09-2024,Smartphone,Electronics,West,Sneha,2,24523.23,,41689.49
ORD1438,27-01-2024,Smartphone,Electronics,West,Arjun,6,25411.27,0.05,144844.24
ORD1384,17-05-2024,Tablet,Electronics,East,Arjun,11,29642.2,0.05,309760.99
ORD1250,19-05-2024,Monitor,Electronics,North,Arjun,14,20561.68,0.1,259077.17
